level_0,index,wallet,total_txns,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidations,unique_assets,num_actions,repay_to_borrow_ratio,net_flow,is_liquidated,days_since_last_txn
21,21,0x00010a708585ba4812a1c5976182626c75cb7a6b,29,1266.163822154934,1136.6818243501828,435.62096512585373,247.44921364930696,0.0,6,4,0.3829022805868154,-117.96721584455571,0,1416
22,22,0x00016fc0c9f7620e920e1423fd455f9574f48025,2,3.1457592760046476,0.0,0.0,0.0,0.0,1,1,0.0,3.1457592760046476,0,1457
23,23,0x0002761e848b24046a53d494847b11a3e1d36b09,1,1.0022621744374798,0.0,0.0,0.0,0.0,1,1,0.0,1.0022621744374798,0,1459
24,24,0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,1.0112506095471125,0.0,0.0,0.0,0.0,1,1,0.0,1.0112506095471125,0,1456
25,25,0x0003816b25fd3d6c112eb65c089760fa3f791947,4,7122.699059900504,2946.593000000001,2946.9505000000063,7118.472277000014,0.0,2,4,0.9997820255374488,-2942.3662170995112,0,1513
26,26,0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,2273.7194871873667,917.4028183810865,0.0,11059.053813538736,0.0,6,3,0.0,-9702.737144732455,0,1420
27,27,0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,1049.493536649711,0.0,0.0,1049.4937715306417,0.0,1,2,0.0,-0.00023488093074774952,0,1524
28,28,0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,2186.046136065428,2095.927039250547,1474.2672201061496,1399.922022756632,0.0,2,4,0.7030608087504374,-1309.8029259417508,0,1412
29,29,0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,994.0621402142455,505.6751402199634,543.4854055313201,1335.6428532248508,0.0,2,4,1.0726506244126686,-847.2558532305687,0,1412
30,30,0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,2741.759361949003,518.3127324254524,0.0,0.0,0.0,2,2,0.0,2223.4466295235507,0,1414
31,31,0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,35.395717480350115,22.653259187424077,22.653259187424077,35.39570332206313,0.0,1,4,0.9577225281270465,-22.65324502913709,0,1515
32,32,0x0005696d4be2359526c497fe4a4c0620b41f2426,7,735.6873206985615,593.7611376147482,592.9530021211906,1339.388333561453,0.0,4,4,0.9969598963698115,-1197.4621504776396,0,1496
33,33,0x000660cad76200a2e326f53e033919905e6c50f5,1,1.0648525755563298,0.0,0.0,0.0,0.0,1,1,0.0,1.0648525755563298,0,1460
34,34,0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1.1536765310394421,0.0,0.0,0.0,0.0,1,1,0.0,1.1536765310394421,0,1454
35,35,0x00080000158a9930aeb508823103b0a977161c47,2,2.6175135989121427,0.0,0.0,0.0,0.0,1,1,0.0,2.6175135989121427,0,1457
36,36,0x00099b1263c22ae2ce0a52624cef2a012e751970,2,1.0581473433072288,0.0,0.0,0.0,0.0,1,1,0.0,1.0581473433072288,0,1455
37,37,0x0009ce45d5df78e632a0b4987079432dfba2253a,1,0.032446847156000054,0.0,0.0,0.0,0.0,1,1,0.0,0.032446847156000054,0,1536
38,38,0x000a27ba176083e4b50177378cbe7469a00dd557,12,277.8849972393591,160.38631003803744,160.22581757470167,276.87438607237016,0.0,2,4,0.9928092261167489,-159.37569887104848,0,1470
39,39,0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,25174.45683364294,13419.050139675852,13381.494379508396,46364.73877723404,0.0,5,4,0.99712700327002,-34609.33208326695,0,1478
40,40,0x000ab43e658935ba39504a1424b01756c1e9644c,2,0.11365237938343968,0.011365237938343969,0.0,0.0,0.0,1,2,0.0,0.10228714144509571,0,1435
41,41,0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,2616.0044775996926,0.0,0.0,2280.171141989697,0.0,8,2,0.0,335.83333560999563,0,1417
42,42,0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,5480.588573862457,2366.7671912305223,2366.7671912305223,5480.588573862457,0.0,2,4,0.9995776611806669,-2366.7671912305223,0,1543
43,43,0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,187.61063040332172,963.8765146793129,933.0977900335208,174.35743036205497,0.0,4,4,0.9670644645586031,-950.6233146380462,0,1415
44,44,0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,282.1056376025053,40.10267633402085,40.31433339845018,0.0,0.0,2,3,0.9808201556228553,242.00296126848443,0,1462
45,45,0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,0.0012181088062153708,0.0,0.0,0.0,0.0,1,1,0.0,0.0012181088062153708,0,1494
46,46,0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,0.13920558505203293,0.0,0.0,0.0,0.0,1,1,0.0,0.13920558505203293,0,1513
47,47,0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,760.4061861653314,886.7244790708097,503.6501564107848,502.2313169970222,0.0,3,4,0.5673496318789818,-628.5496099025005,0,1424
48,48,0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,7134.806489127495,0.0,0.0,3448.760361803882,0.0,2,2,0.0,3686.0461273236133,0,1412
49,49,0x000e840a3122ec28d0c29321db172375cb049762,10,967.8323802710293,216.8257036891647,217.3913973215126,267.2482136741055,0.0,2,4,0.9980061748439393,483.75846290775905,0,1496
50,50,0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,82.45110016915316,34.630956155900854,35.37800801727156,57.06277350892236,0.0,3,4,0.99290088827472,-9.242629495670052,0,1417
51,51,0x000eab293e332bd6e67018a9150e8807bfac3233,1,1.097254760600487,0.0,0.0,0.0,0.0,1,1,0.0,1.097254760600487,0,1452
52,52,0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,102.37738923188869,0.0,0.0,82.48886148682797,0.0,2,2,0.0,19.888527745060713,0,1488
53,53,0x000f4432a40560bbff1b581a8b7aded8dab80026,25,31488.764002887656,17603.97911970302,17566.377247476397,46609.57735566828,0.0,4,4,0.9978073321209782,-32724.79247248365,0,1522
54,54,0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,57565565.509212136,47039763.54765072,46907451.027526215,57340991.92411108,0.0,5,4,0.9971871985032903,-46815189.962549664,0,1540
55,55,0x000f908720f9ce164d90f4fc89459fab4442907f,96,1663.4251937312322,1355.013715474462,1351.0568899319198,1659.9410871656469,0.0,2,4,0.9963445609096897,-1351.5296089088768,0,1493
56,56,0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,607.3427750185859,140.01063060029028,139.70001148776586,350.14550700363304,0.0,2,4,0.9907055297395307,117.18663741466264,0,1463
57,57,0x0011730224657eb527cf736039854c3a3f140e63,4,1507.3242050250017,738.0253561825901,738.0253561825901,1520.678661300002,0.0,2,4,0.998646866455076,-751.3798124575904,0,1547
58,58,0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,261.125891711734,2.6029677882195146,2.6163774015531502,0.0,0.0,2,3,0.7261728539754974,258.5229239235145,0,1470
59,59,0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2.2961814875215225,0.0,0.0,0.0,0.0,1,1,0.0,2.2961814875215225,0,1455
60,60,0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,24971.86281241228,14463.747529345676,4303.809157276695,6219.04414164419,2.0,7,5,0.29753779998892116,4289.071141422415,1,1459
61,61,0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0.0,0.0,0.0,9.901298877476563,0.0,1,1,0.0,-9.901298877476563,0,1462
62,62,0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,0.20424043145808832,0.0,0.0,0.0,0.0,1,1,0.0,0.20424043145808832,0,1510
63,63,0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2.435337781859825,0.0,0.0,0.0,0.0,1,1,0.0,2.435337781859825,0,1452
64,64,0x0014dfac19477a83d7354e6eaac28642c1959398,36,86721.51626282626,18149.00162791084,18188.824774686098,82835.8750569956,0.0,3,4,1.0021390161594013,-14263.360422080179,0,1485
65,65,0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,18831.760523933794,1419.946916528213,0.0,17284.53823640685,0.0,5,3,0.0,127.27537099873007,0,1414
66,66,0x00159370cbe576b765a7fb2e78582e0cb563d445,19,3052.590439912865,2945.931847397388,0.0,1090.721667688074,0.0,5,3,0.0,-984.0630751725971,0,1415
67,67,0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,14.143677216766179,0.0,0.0,14.13060358607649,0.0,1,2,0.0,0.013073630689689253,0,1509
68,68,0x0016469a65facda9e86fd0ae0e9661128843c224,2,0.02066851083836642,0.004676133673838557,0.0,0.0,0.0,1,2,0.0,0.015992377164527862,0,1527
69,69,0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,0.20245672002376752,0.0,0.0,0.0,0.0,1,1,0.0,0.20245672002376752,0,1510
70,70,0x00183135585d70a523d61b2e43037a7138b36906,54,5069.1867720319915,3849.7900537521605,1709.0734256336661,3843.289089787082,0.0,6,4,0.4438240988932562,-2623.892371507251,0,1418
71,71,0x00184e8aa1e95f491f2d9601e12b540092160ded,4,102.30571110800008,24.98479710580002,24.98479710580002,102.30571110800008,0.0,2,4,0.9615159588921018,-24.984797105800027,0,1553
72,72,0x0018583d7654803d2c59467e10dec5f70bbe1851,72,0.0007214676583205847,0.0,0.0,0.0,0.0,3,1,0.0,0.0007214676583205847,0,1505
73,73,0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2.259609878203447,0.0,0.0,0.0,0.0,1,1,0.0,2.259609878203447,0,1456
74,74,0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,33498.02454204079,1.1215514727063227,1.121345368530205,39219.26696853398,0.0,3,4,0.528549687790407,-5722.363977965899,0,1435
75,75,0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,0.0,79.00412443596895,158.72329212505053,203.87955507480876,0.0,3,3,1.9839388687027533,-282.8836795107777,0,1473
76,76,0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,0.12660839226404058,0.0,0.0,0.0,0.0,1,1,0.0,0.12660839226404058,0,1513
77,77,0x001b024b98ee862aa01eea595c4c16a0213d2611,2,901.2925262863052,498.74059439622636,0.0,0.0,0.0,2,2,0.0,402.5519318900789,0,1555
78,78,0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,407.79274415290837,234.8782142990087,235.2622310010467,332.41550610710146,0.0,3,4,0.997388553666168,-159.5009762532018,0,1480
79,79,0x001bc97d92e1a30b02d4e75be25f06063555d556,45,114723.42231228868,54445.837409092936,54503.63129933802,99696.31662068289,0.0,4,4,1.001043107239055,-39418.73171748715,0,1487
80,80,0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,16.47047136709072,0.0,0.0,0.0,0.0,2,1,0.0,16.47047136709072,0,1436
81,81,0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,1.8223456102801723,0.0,0.0,0.0,0.0,2,1,0.0,1.8223456102801723,0,1453
82,82,0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1.5659901853326883,0.0,0.0,0.0,0.0,1,1,0.0,1.5659901853326883,0,1455
83,83,0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1.1337851305503868,0.0,0.0,0.0,0.0,1,1,0.0,1.1337851305503868,0,1452
84,84,0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,5.666408226639781e-10,0.0,0.0,0.0,0.0,1,1,0.0,5.666408226639781e-10,0,1456
85,85,0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,1196.3032316799445,0.0,0.0,323.60395233508615,0.0,2,2,0.0,872.6992793448583,0,1420
86,86,0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,0.023605146373711014,0.0,0.0,0.0,0.0,1,1,0.0,0.023605146373711014,0,1457
87,87,0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0.0,0.0,0.0,2068000.9228473718,0.0,1,1,0.0,-2068000.9228473718,0,1449
88,88,0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,1.167477656127134,0.0,0.0,0.0,0.0,2,1,0.0,1.167477656127134,0,1456
89,89,0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1.10570237623672,0.0,0.0,0.0,0.0,1,1,0.0,1.10570237623672,0,1457
90,90,0x002379916ac42a432f3b53f16782d33267debb4c,1,1.1886507952922616,0.0,0.0,0.0,0.0,1,1,0.0,1.1886507952922616,0,1457
91,91,0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2.259609878203447,0.0,0.0,0.0,0.0,1,1,0.0,2.259609878203447,0,1456
92,92,0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,15.189578905507386,0.0,0.0,0.0,0.0,1,1,0.0,15.189578905507386,0,1457
93,93,0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,5.129981410556754,0.0,0.0,0.0,0.0,1,1,0.0,5.129981410556754,0,1457
94,94,0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,3.1033054982620953,0.0,0.0,0.0,0.0,1,1,0.0,3.1033054982620953,0,1456
95,95,0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0.0,0.0,0.0,1015.376097255415,0.0,1,1,0.0,-1015.376097255415,0,1437
96,96,0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,0.026044090290244563,0.0,0.0,0.0,0.0,1,1,0.0,0.026044090290244563,0,1479
97,97,0x00246f7813397868b1beec56e1677efa47816dae,44,7438978.731874706,5816299.443463209,5472177.71761479,7001681.424629034,0.0,1,4,0.9408347747518495,-5379002.136217536,0,1485
98,98,0x0025a856d01a898bd52286d56c52323b13937b65,1,0.1422024974218183,0.0,0.0,0.0,0.0,1,1,0.0,0.1422024974218183,0,1513
99,99,0x00261d225db379b3fc74cd0228d6f90582d39035,2,0.032239917783138006,0.004713438272388597,0.0,0.0,0.0,1,2,0.0,0.027526479510749408,0,1526
100,100,0x00262ffcfda82b5582d1905ca05b849f196b0419,10,101.41967361600112,57.24285810787879,56.95340624693982,101.03588165764046,0.0,2,4,0.9778607729285775,-56.85906614951813,0,1491
101,101,0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,0.16209142428199927,0.0,0.0,0.0,0.0,1,1,0.0,0.16209142428199927,0,1511
102,102,0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1.862989298047552,0.0,0.0,0.0,0.0,1,1,0.0,1.862989298047552,0,1452
103,103,0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,0.2045908664031135,0.0,0.0,0.0,0.0,1,1,0.0,0.2045908664031135,0,1510
104,104,0x002775390698ef16589bb22bba37ae7906ae2f36,30,93.46124873657938,83.68991069080585,18.553282685857933,11.659678779087674,0.0,5,4,0.2190731166737684,-1.8883407333141413,0,1478
105,105,0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1.8864509259060727,0.0,0.0,0.0,0.0,1,1,0.0,1.8864509259060727,0,1451
106,106,0x0027f7335d610f15b325baa5798414548720fcaa,13,5708.1980037841895,1568.6763662421108,1571.6110933811847,4252.486168474447,0.0,2,4,1.0012325643557376,-112.96453093236869,0,1414
107,107,0x00283b611db7844cb5677b311afd67c8e3078518,1,7.201520673920151,0.0,0.0,0.0,0.0,1,1,0.0,7.201520673920151,0,1450
108,108,0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,0.03737532010034612,0.0,0.0,0.0,0.0,1,1,0.0,0.03737532010034612,0,1531
109,109,0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2.123490954986433,0.0,0.0,0.0,0.0,1,1,0.0,2.123490954986433,0,1457
110,110,0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1.1058755718750977,0.0,0.0,0.0,0.0,1,1,0.0,1.1058755718750977,0,1452
111,111,0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,2085.940883981687,962.2995982105101,5.838228517532286e-07,12199.802514902734,0.0,6,4,6.060657066999478e-10,-11076.161229131558,0,1452
112,112,0x002bb13a55bf4525f02717708dd4534ecc475193,2,3.1415513028579416,0.0,0.0,0.0,0.0,1,1,0.0,3.1415513028579416,0,1457
113,113,0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1.1597473478486582,0.0,0.0,0.0,0.0,1,1,0.0,1.1597473478486582,0,1457
114,114,0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,5.481559226287328,2.7225309172016465,2.7225309172016465,5.126801487401542,0.0,2,4,0.7313655622364221,-2.36777317831586,0,1540
115,115,0x002d2715b179d0db3e17cc28317a98f2f65e6884,253,215315.5213204431,93608.49245901838,75255.81694240712,176863.21909409476,0.0,8,4,0.803933607217811,-55156.19023267004,0,1456
116,116,0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,1.058311089277293,0.0,0.0,0.0,0.0,1,1,0.0,1.058311089277293,0,1455
117,117,0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,29,8042.91989441287,4507.462083128547,1386.103831655126,1506.8694822364216,0.0,4,4,0.3074449349018967,2028.5883290479012,0,1421
118,118,0x002de04d579930686698abab5f48bda0b24fb9fc,85,53947.6768379992,43067.64650300531,43774.100999620496,41418.66663966481,0.0,7,4,1.016379769365772,-30538.636304670916,0,1414
119,119,0x002e5e69ae7c8999834ee24aeb5c26ad05433820,4,8185.806955103061,2495.5332672426603,2495.5332672426603,8185.806955103061,0.0,2,4,0.9995994445525236,-2495.5332672426603,0,1548
120,120,0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,6,15.030517322502183,0.0,0.0,1752.4937615372405,0.0,3,2,0.0,-1737.4632442147383,0,1428
121,121,0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,0.012361424916557983,0.0,0.0,0.0,0.0,1,1,0.0,0.012361424916557983,0,1459
122,122,0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,108,7503.932118568443,3061.4026722072385,2528.0281749432893,2336.6980770088976,0.0,6,4,0.8255048226957049,2105.831369352307,0,1416
123,123,0x0030040e8d836ac3e546c354f9b373e70a14deeb,2,0.0,0.0,0.0,44888.71384039049,0.0,2,1,0.0,-44888.71384039049,0,1473
124,124,0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,58,16297.731895335117,11215.501171454891,0.0,0.0,0.0,6,2,0.0,5082.230723880226,0,1412
125,125,0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,1.8150472970994171,0.0,0.0,0.0,0.0,1,1,0.0,1.8150472970994171,0,1454
126,126,0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,3,196.7159780669421,0.0,0.0,197.00198284009699,0.0,1,2,0.0,-0.2860047731548718,0,1418
127,127,0x003094a91a3b5523bc601b221f80183bd347e9ae,2,2.259609878203447,0.0,0.0,0.0,0.0,1,1,0.0,2.259609878203447,0,1456
128,128,0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,0.04768792449483425,0.0,0.0,0.0,0.0,1,1,0.0,0.04768792449483425,0,1463
129,129,0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67,94769.29623780605,125571.6028399035,125437.02966043795,94266.2535656914,0.0,6,4,0.9989203602027873,-125068.56016778885,0,1415
130,130,0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,1.0031586054611734,0.0,0.0,0.0,0.0,1,1,0.0,1.0031586054611734,0,1458
131,131,0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,1.8071232012074632,0.0,0.0,0.0,0.0,2,1,0.0,1.8071232012074632,0,1461
132,132,0x0030ee334630838ea4dee0b4b6ecbc973529031f,16,3999.4172605806134,4580.268039158945,1816.91479412184,0.0,0.0,3,3,0.39659648346081045,-580.8507785783313,0,1421
133,133,0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,1.0519093751900908,0.0,0.0,0.0,0.0,1,1,0.0,1.0519093751900908,0,1460
134,134,0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,26.554821136395518,0.0,0.0,0.0,0.0,2,1,0.0,26.554821136395518,0,1454
135,135,0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,523,4802163.252562589,8740107.447831493,4062271.7066028374,2215353.983620957,0.0,7,4,0.4647850459579511,-6153298.178889861,0,1433
136,136,0x003325d3054cd7668fb16f19ea11bae6d02a474c,5,0.0,0.0,0.0,2015703.4790075948,0.0,2,1,0.0,-2015703.4790075948,0,1427
137,137,0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,60563024.61641714,35059576.65262691,35021753.381240435,60580513.637374654,0.0,2,4,0.9989211429823474,-35077065.673584424,0,1510
138,138,0x0034d2a08772822866b08d2c585e5c8e25723760,1,648.7740221834815,0.0,0.0,0.0,0.0,1,1,0.0,648.7740221834815,0,1487
139,139,0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,5,0.0,0.0,0.0,265370.1775561385,0.0,3,1,0.0,-265370.1775561385,0,1466
140,140,0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,26,4286.286065817432,1471.653898010025,914.9663936533416,1725.3034179860115,0.0,3,4,0.6213044320119764,1089.3287498213958,0,1487
141,141,0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,10.23869648132951,0.0,0.0,0.0,0.0,1,1,0.0,10.23869648132951,0,1460
142,142,0x0036534c48a754163f0f446601f36bcfda840f57,27,2736.4465453621165,1412.3662438192569,1402.7013696055812,2214.1520504157493,0.0,5,4,0.9924542741413884,-890.0717488728897,0,1517
143,143,0x00368bb9dba2ee83f3553feae59710b9c3743e09,11,2864.790341396687,788.5672363468941,0.0,200.8252582175331,0.0,4,3,0.0,1875.39784683226,0,1462
144,144,0x0036a2f1f6136bb9d7992f7def692126a279e702,1,1.0147174318145307,0.0,0.0,0.0,0.0,1,1,0.0,1.0147174318145307,0,1457
145,145,0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,43,3253.080050062062,4817.143424824378,3812.074334562172,3013.501811128626,0.0,5,4,0.7911915438053037,-4577.565185890941,0,1446
146,146,0x0036bc671c03460dec7d0ab24f45df0cf33d042b,12,1906.134884517545,929.0745258190238,969.6966054306666,1975.19703070557,0.0,3,4,1.0426009728379042,-998.1366720070487,0,1427
147,147,0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,1.8382403652310029,0.0,0.0,0.0,0.0,1,1,0.0,1.8382403652310029,0,1452
148,148,0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,9,49782.89705733511,0.0,0.0,49619.70453964826,0.0,1,2,0.0,163.19251768685353,0,1453
149,149,0x0037daf6fb154db55110ced85cb4ba9e1204ca17,28,170.17280398146625,127.9797898298705,0.0,83.05191444095146,1.0,6,4,0.0,-40.85890028935572,1,1433
150,150,0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,1.0939297118855962,0.0,0.0,0.0,0.0,1,1,0.0,1.0939297118855962,0,1451
151,151,0x00389de87cae34a6f89e13cc8225c4984add8b37,610,5941442.263509485,3114347.9784883675,1426082.1549210404,4134062.0037334505,0.0,8,4,0.4579069862662686,-1306967.7187123331,0,1470
152,152,0x0039e71541bdc798d062346bce94230bf519bb72,2,0.030783814783927176,0.004735971505219566,0.0,0.0,0.0,1,2,0.0,0.02604784327870761,0,1527
153,153,0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,6,19048.62712756878,0.0,0.0,24050.591145686063,0.0,3,2,0.0,-5001.964018117284,0,1530
154,154,0x003a85c562730b196f7cba202a2515f2ff855736,177,1763040.535519632,329225.83893521037,327371.1803000085,863595.6471707672,0.0,7,4,0.9943635863916701,570219.0494136545,0,1414
155,155,0x003a969ef82e876824b4131a1bbafbdb46a2ca90,13,2427.943365150083,885.9066653037405,886.0212731966362,0.0,0.0,3,3,0.9990017076861171,1542.0366998463426,0,1496
